Original first level,Original second level,Original third level,NLP Type,NLP first level,NLP second level,NLP third level,NLP fourth level,mapped_nlp
children female (6 to 17 years old),,,DEMOGRAPHIC GROUPS,Female,<18 years old,5-17 years old,,"['secondary_tags->Gender->Female', 'secondary_tags->All-><18 years old', 'secondary_tags->All->5-17 years old']"
femenino,5-12,,DEMOGRAPHIC GROUPS,Female,<18 years old,5-17 years old,,"['secondary_tags->Gender->Female', 'secondary_tags->All-><18 years old', 'secondary_tags->All->5-17 years old']"
femenino,13-17,,DEMOGRAPHIC GROUPS,Female,<18 years old,5-17 years old,,"['secondary_tags->Gender->Female', 'secondary_tags->All-><18 years old', 'secondary_tags->All->5-17 years old']"
children female  <18 years old,,,DEMOGRAPHIC GROUPS,Female,<18 years old,,,"['secondary_tags->Gender->Female', 'secondary_tags->All-><18 years old']"
children female (< 18 years),,,DEMOGRAPHIC GROUPS,Female,<18 years old,,,"['secondary_tags->Gender->Female', 'secondary_tags->All-><18 years old']"
vulnerability,girls,,DEMOGRAPHIC GROUPS,Female,<18 years old,,,"['secondary_tags->Gender->Female', 'secondary_tags->All-><18 years old']"
vulnerability/pin,girls,,DEMOGRAPHIC GROUPS,Female,<18 years old,,,"['secondary_tags->Gender->Female', 'secondary_tags->All-><18 years old']"
adultos mayores mujeres (60 + años),,,DEMOGRAPHIC GROUPS,Female,>60 years old,,,"['secondary_tags->Gender->Female', 'secondary_tags->All->>60 years old']"
female older persons (60+ years old),,,DEMOGRAPHIC GROUPS,Female,>60 years old,,,"['secondary_tags->Gender->Female', 'secondary_tags->All->>60 years old']"
older persons female (60+ years old),,,DEMOGRAPHIC GROUPS,Female,>60 years old,,,"['secondary_tags->Gender->Female', 'secondary_tags->All->>60 years old']"
femenino,+60,,DEMOGRAPHIC GROUPS,Female,>60 years old,,,"['secondary_tags->Gender->Female', 'secondary_tags->All->>60 years old']"
youth female (18 to 24 years old),,,DEMOGRAPHIC GROUPS,Female,18-59 years old,18-24 years old,,"['secondary_tags->Gender->Female', 'secondary_tags->All->18-59 years old', 'secondary_tags->All->18-24 years old']"
adult female (25 to 59 years old),,,DEMOGRAPHIC GROUPS,Female,18-59 years old,25-59 years old,,"['secondary_tags->Gender->Female', 'secondary_tags->All->18-59 years old', 'secondary_tags->All->25-59 years old']"
adult female (18 to 59 years old),,,DEMOGRAPHIC GROUPS,Female,18-59 years old,,,"['secondary_tags->Gender->Female', 'secondary_tags->All->18-59 years old']"
adult female (18-50),,,DEMOGRAPHIC GROUPS,Female,18-59 years old,,,"['secondary_tags->Gender->Female', 'secondary_tags->All->18-59 years old']"
adult female (18-59 years old),,,DEMOGRAPHIC GROUPS,Female,18-59 years old,,,"['secondary_tags->Gender->Female', 'secondary_tags->All->18-59 years old']"
adultos mujeres (18-59 años),,,DEMOGRAPHIC GROUPS,Female,18-59 years old,,,"['secondary_tags->Gender->Female', 'secondary_tags->All->18-59 years old']"
femenino,18-34,,DEMOGRAPHIC GROUPS,Female,18-59 years old,,,"['secondary_tags->Gender->Female', 'secondary_tags->All->18-59 years old']"
femenino,35-59,,DEMOGRAPHIC GROUPS,Female,18-59 years old,,,"['secondary_tags->Gender->Female', 'secondary_tags->All->18-59 years old']"
vulnerability/pin,mothers,,DEMOGRAPHIC GROUPS,Female,,,,['secondary_tags->Gender->Female']
female,,,DEMOGRAPHIC GROUPS,Female,,,,['secondary_tags->Gender->Female']
gender-based group,women/girls,,DEMOGRAPHIC GROUPS,Female,,,,['secondary_tags->Gender->Female']
women,,,DEMOGRAPHIC GROUPS,Female,,,,['secondary_tags->Gender->Female']
children male (5 to 1 years old),,,DEMOGRAPHIC GROUPS,Male,<18 years old,<5 years old,,"['secondary_tags->Gender->Male', 'secondary_tags->All-><18 years old', 'secondary_tags->All-><5 years old']"
adolescentes hombres (12-17 años),,,DEMOGRAPHIC GROUPS,Male,<18 years old,5-17 years old,12-17 years old,"['secondary_tags->Gender->Male', 'secondary_tags->All-><18 years old', 'secondary_tags->All->5-17 years old', 'secondary_tags->All->12-17 years old']"
youth male (12 to 17 years old),,,DEMOGRAPHIC GROUPS,Male,<18 years old,5-17 years old,12-17 years old,"['secondary_tags->Gender->Male', 'secondary_tags->All-><18 years old', 'secondary_tags->All->5-17 years old', 'secondary_tags->All->12-17 years old']"
youth male (12-17 years old),,,DEMOGRAPHIC GROUPS,Male,<18 years old,5-17 years old,12-17 years old,"['secondary_tags->Gender->Male', 'secondary_tags->All-><18 years old', 'secondary_tags->All->5-17 years old', 'secondary_tags->All->12-17 years old']"
masculino,13-17,,DEMOGRAPHIC GROUPS,Male,<18 years old,5-17 years old,12-17 years old,"['secondary_tags->Gender->Male', 'secondary_tags->All-><18 years old', 'secondary_tags->All->5-17 years old', 'secondary_tags->All->12-17 years old']"
children male (5 to 11 years old),,,DEMOGRAPHIC GROUPS,Male,<18 years old,5-17 years old,5-11 years old,"['secondary_tags->Gender->Male', 'secondary_tags->All-><18 years old', 'secondary_tags->All->5-17 years old', 'secondary_tags->All->5-11 years old']"
children male (5-11 years old),,,DEMOGRAPHIC GROUPS,Male,<18 years old,5-17 years old,5-11 years old,"['secondary_tags->Gender->Male', 'secondary_tags->All-><18 years old', 'secondary_tags->All->5-17 years old', 'secondary_tags->All->5-11 years old']"
niños (5-11 años),,,DEMOGRAPHIC GROUPS,Male,<18 years old,5-17 years old,5-11 years old,"['secondary_tags->Gender->Male', 'secondary_tags->All-><18 years old', 'secondary_tags->All->5-17 years old', 'secondary_tags->All->5-11 years old']"
children male (6 to 17 years old),,,DEMOGRAPHIC GROUPS,Male,<18 years old,5-17 years old,,"['secondary_tags->Gender->Male', 'secondary_tags->All-><18 years old', 'secondary_tags->All->5-17 years old']"
masculino,5-12,,DEMOGRAPHIC GROUPS,Male,<18 years old,5-17 years old,,"['secondary_tags->Gender->Male', 'secondary_tags->All-><18 years old', 'secondary_tags->All->5-17 years old']"
children male (< 18 years),,,DEMOGRAPHIC GROUPS,Male,<18 years old,,,"['secondary_tags->Gender->Male', 'secondary_tags->All-><18 years old']"
children male < 18 years old,,,DEMOGRAPHIC GROUPS,Male,<18 years old,,,"['secondary_tags->Gender->Male', 'secondary_tags->All-><18 years old']"
adultos mayores hombres (60 + años),,,DEMOGRAPHIC GROUPS,Male,>60 years old,,,"['secondary_tags->Gender->Male', 'secondary_tags->All->>60 years old']"
male older persons (60+ years old),,,DEMOGRAPHIC GROUPS,Male,>60 years old,,,"['secondary_tags->Gender->Male', 'secondary_tags->All->>60 years old']"
masculino,+60,,DEMOGRAPHIC GROUPS,Male,>60 years old,,,"['secondary_tags->Gender->Male', 'secondary_tags->All->>60 years old']"
older persons male (60+ years old),,,DEMOGRAPHIC GROUPS,Male,>60 years old,,,"['secondary_tags->Gender->Male', 'secondary_tags->All->>60 years old']"
youth male (18 to 24 years old),,,DEMOGRAPHIC GROUPS,Male,18-59 years old,18-24 years old,,"['secondary_tags->Gender->Male', 'secondary_tags->All->18-59 years old', 'secondary_tags->All->18-24 years old']"
adult male (25 to 59 years old),,,DEMOGRAPHIC GROUPS,Male,18-59 years old,25-59 years old,,"['secondary_tags->Gender->Male', 'secondary_tags->All->18-59 years old', 'secondary_tags->All->25-59 years old']"
adult male (18 to 59 years old),,,DEMOGRAPHIC GROUPS,Male,18-59 years old,,,"['secondary_tags->Gender->Male', 'secondary_tags->All->18-59 years old']"
adult male (18-50),,,DEMOGRAPHIC GROUPS,Male,18-59 years old,,,"['secondary_tags->Gender->Male', 'secondary_tags->All->18-59 years old']"
adult male (18-59 years old),,,DEMOGRAPHIC GROUPS,Male,18-59 years old,,,"['secondary_tags->Gender->Male', 'secondary_tags->All->18-59 years old']"
adultos hombres (18-59 años),,,DEMOGRAPHIC GROUPS,Male,18-59 years old,,,"['secondary_tags->Gender->Male', 'secondary_tags->All->18-59 years old']"
masculino,18-34,,DEMOGRAPHIC GROUPS,Male,18-59 years old,,,"['secondary_tags->Gender->Male', 'secondary_tags->All->18-59 years old']"
masculino,35-59,,DEMOGRAPHIC GROUPS,Male,18-59 years old,,,"['secondary_tags->Gender->Male', 'secondary_tags->All->18-59 years old']"
male,,,DEMOGRAPHIC GROUPS,Male,,,,['secondary_tags->Gender->Male']
masculino,44693,,DEMOGRAPHIC GROUPS,Male,,,,['secondary_tags->Gender->Male']
cannot be judged,,,RELIABILITY,Cannot be judged,,,,['secondary_tags->reliability->Cannot be judged']
cannot be used,,,RELIABILITY,Cannot be judged,,,,['secondary_tags->reliability->Cannot be judged']
no puede ser usado,,,RELIABILITY,Cannot be judged,,,,['secondary_tags->reliability->Cannot be judged']
completamente confiable,,,RELIABILITY,Completely reliable,,,,['secondary_tags->reliability->Completely reliable']
completely,,,RELIABILITY,Completely reliable,,,,['secondary_tags->reliability->Completely reliable']
completely reliable,,,RELIABILITY,Completely reliable,,,,['secondary_tags->reliability->Completely reliable']
fairly,,,RELIABILITY,Fairly reliable,,,,['secondary_tags->reliability->Fairly reliable']
fairly reliable,,,RELIABILITY,Fairly reliable,,,,['secondary_tags->reliability->Fairly reliable']
no fidedigno,,,RELIABILITY,Unreliable,,,,['secondary_tags->reliability->Unreliable']
not usually,,,RELIABILITY,Unreliable,,,,['secondary_tags->reliability->Unreliable']
not usually reliable,,,RELIABILITY,Unreliable,,,,['secondary_tags->reliability->Unreliable']
unreliable,,,RELIABILITY,Unreliable,,,,['secondary_tags->reliability->Unreliable']
usualmente no confiable,,,RELIABILITY,Unreliable,,,,['secondary_tags->reliability->Unreliable']
usually,,,RELIABILITY,Usually reliable,,,,['secondary_tags->reliability->Usually reliable']
usually reliable,,,RELIABILITY,Usually reliable,,,,['secondary_tags->reliability->Usually reliable']
harvest,,,Sector,Agriculture,,,,['first_level_tags->sectors->Agriculture']
livelihoods and private sector,agriculture,,Sector,Agriculture,,,,['first_level_tags->sectors->Agriculture']
livestock production,,,Sector,Agriculture,,,,['first_level_tags->sectors->Agriculture']
seasonal calendar,,,Sector,Agriculture,,,,['first_level_tags->sectors->Agriculture']
segal,producción agrícola,,Sector,Agriculture,,,,['first_level_tags->sectors->Agriculture']
agriculture,,,Sector,Agriculture,,,,['first_level_tags->sectors->Agriculture']
aee,energía,,Sector,Cross,,,,['first_level_tags->sectors->Cross']
basic services,electricity,,Sector,Cross,,,,['first_level_tags->sectors->Cross']
choques / eventos / condiciones en curso,combustible,,Sector,Cross,,,,['first_level_tags->sectors->Cross']
clúster,multisectorial,,Sector,Cross,,,,['first_level_tags->sectors->Cross']
contexto,pobreza,,Sector,Cross,,,,['first_level_tags->sectors->Cross']
cross,,,Sector,Cross,,,,['first_level_tags->sectors->Cross']
cross-sector,,,Sector,Cross,,,,['first_level_tags->sectors->Cross']
food & agriculture,,,Sector,Cross,,,,['first_level_tags->sectors->Cross']
food security & livelihoods,,,Sector,Cross,,,,['first_level_tags->sectors->Cross']
health & nutrition,,,Sector,Cross,,,,['first_level_tags->sectors->Cross']
infrastructure & access to social services,"lack of access to education, water and other services",,Sector,Cross,,,,['first_level_tags->sectors->Cross']
intersectoral linkage,multi-sector,,Sector,Cross,,,,['first_level_tags->sectors->Cross']
livelihood & education,,,Sector,Cross,,,,['first_level_tags->sectors->Cross']
multi sectorial,,,Sector,Cross,,,,['first_level_tags->sectors->Cross']
"food security, agriculture & land",food poverty due to increasing food prices,,Sector,Cross,,,,['first_level_tags->sectors->Cross']
assessment/monitoring,wash in schools,,Sector,Education,Facilities and amenities,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Facilities and amenities']"
edu,instalaciones educativas,,Sector,Education,Facilities and amenities,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Facilities and amenities']"
educación,infraestructura de planteles,,Sector,Education,Facilities and amenities,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Facilities and amenities']"
education,facilities and amenities,,Sector,Education,Facilities and amenities,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Facilities and amenities']"
wash,cleaning/sanitizing,,Sector,Education,Facilities and amenities,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Facilities and amenities']"
wash,construction/rehabilitation of wash facilities,,Sector,Education,Facilities and amenities,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Facilities and amenities']"
wash,distribution: cleaning/hygiene items,,Sector,Education,Facilities and amenities,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Facilities and amenities']"
monitoring,wash in ecd centers/schools,,Sector,Education,Facilities and amenities,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Facilities and amenities']"
support to service delivery,cleaning/sanitizing of ecd/pre-primary centers,,Sector,Education,Facilities and amenities,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Facilities and amenities']"
support to service delivery,construction/rehabilitation of wash facilities,,Sector,Education,Facilities and amenities,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Facilities and amenities']"
education development center (edc),,,Sector,Education,Facilities and amenities,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Facilities and amenities']"
assessment/monitoring,school feeding,,Sector,Education,Learning environment,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Learning environment']"
capacity development,gbv/gender equity,,Sector,Education,Learning environment,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Learning environment']"
child protection,violence prevention,,Sector,Education,Learning environment,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Learning environment']"
edu,ambiente de aprendizaje,,Sector,Education,Learning environment,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Learning environment']"
educación,acceso al sistema educativo,,Sector,Education,Learning environment,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Learning environment']"
educación,permanencia en sistema educativo,,Sector,Education,Learning environment,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Learning environment']"
educación,regreso a clase post pandemia,,Sector,Education,Learning environment,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Learning environment']"
education,access to education,,Sector,Education,Learning environment,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Learning environment']"
education,learning environment,,Sector,Education,Learning environment,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Learning environment']"
children attending school,,,Sector,Education,Learning environment,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Learning environment']"
continuity of education,drop-out prevention,,Sector,Education,Learning environment,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Learning environment']"
continuity of education,scholarships,,Sector,Education,Learning environment,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Learning environment']"
educación,asistencia escolar,,Sector,Education,Learning environment,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Learning environment']"
educación,deserción  escolar,,Sector,Education,Learning environment,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Learning environment']"
educación,nna fuera de la escuela,,Sector,Education,Learning environment,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Learning environment']"
nna fuera de la escuela,,,Sector,Education,Learning environment,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Learning environment']"
beneficiary,teachers/other education personnel,,Sector,Education,Teachers and education personnel,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teachers and education personnel']"
capacity development,school management,,Sector,Education,Teachers and education personnel,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teachers and education personnel']"
docentes y staff educacional,,,Sector,Education,Teachers and education personnel,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teachers and education personnel']"
edu,profesores y personal educativo,,Sector,Education,Teachers and education personnel,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teachers and education personnel']"
educación,asistencia de personal educativo,,Sector,Education,Teachers and education personnel,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teachers and education personnel']"
educación,ausencia de personal docente,,Sector,Education,Teachers and education personnel,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teachers and education personnel']"
educación,formación a docentes y demás staff escolar,,Sector,Education,Teachers and education personnel,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teachers and education personnel']"
educación,transferencias en efectivo a personal educativo,,Sector,Education,Teachers and education personnel,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teachers and education personnel']"
education,teachers and education personnel,,Sector,Education,Teachers and education personnel,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teachers and education personnel']"
target audience,education personnel,,Sector,Education,Teachers and education personnel,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teachers and education personnel']"
target audience,teachers/other education personnel,,Sector,Education,Teachers and education personnel,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teachers and education personnel']"
capacity development,hygiene practices,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
capacity development,pss,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
capacity development,sel,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
capacity development,virus prevention,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
de materials,distribution/development: learning materials,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
de materials,distribution/development: teaching materials,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
distance learning,development: content,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
distance learning,development: dl guidance,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
distance learning,development: dl teach/learn materials,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
distance learning,distribution: dl teach/learn materials,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
distance learning,distribution: tech,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
distance learning,ece,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
distance learning,music ed,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
distance learning,provision of dl,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
distance learning medium,audio/visual,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
distance learning medium,computer,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
distance learning medium,phone,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
distance learning medium,podcast,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
distance learning medium,printed materials,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
distance learning medium,radio,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
distance learning medium,social media,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
distance learning medium,television,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
distribution,teaching/learning materials,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
edu,proceso de aprendizaje y enseñanza,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
educación,calidad de la educación,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
educación,dsitribución de materiales,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
educación,educación superior,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
education,teaching and learning,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
education,teaching and learning environment,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
education,teaching and learning materials,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
education level,lower secondary,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
education level,pre-primary,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
education level,primary,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
education level,secondary (unspecified),,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
education level,tertiary,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
education level,unspecified,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
education level,upper secondary,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
type of education,accelerated learning,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
type of education,aep,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
type of education,bridging program,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
type of education,catch-up program,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
type of education,cbe,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
type of education,formal,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
type of education,nfe,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
type of education,remedial program,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
type of education,tutoring,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
type of education,tvet,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
accelerated learning,catch-up program,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
capacity development,training: distance education,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
capacity development,training: pss,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
capacity development,training: sel,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
content,pss,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
content,science,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
content,sel,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
educación,educación a distancia,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
educación,útiles escolares,,Sector,Education,Teaching and learning,,,"['first_level_tags->sectors->Education', 'subsectors->Education->Teaching and learning']"
monitoring,school reopening,,Sector,Education,,,,['first_level_tags->sectors->Education']
access to services (basic needs),education,,Sector,Education,,,,['first_level_tags->sectors->Education']
assessment/monitoring,dl,,Sector,Education,,,,['first_level_tags->sectors->Education']
assessment/monitoring,impact of covid-19 on education,,Sector,Education,,,,['first_level_tags->sectors->Education']
basic services,education,,Sector,Education,,,,['first_level_tags->sectors->Education']
beneficiary,moe officials,,Sector,Education,,,,['first_level_tags->sectors->Education']
capacity development,dl,,Sector,Education,,,,['first_level_tags->sectors->Education']
capacity development,moe,,Sector,Education,,,,['first_level_tags->sectors->Education']
clúster,educación,,Sector,Education,,,,['first_level_tags->sectors->Education']
content,religious education,,Sector,Education,,,,['first_level_tags->sectors->Education']
demographic and social context,education,,Sector,Education,,,,['first_level_tags->sectors->Education']
edu,,,Sector,Education,,,,['first_level_tags->sectors->Education']
educación,apoyo técnico,,Sector,Education,,,,['first_level_tags->sectors->Education']
educación,educación indígena,,Sector,Education,,,,['first_level_tags->sectors->Education']
educación,educación nna con discapacidad,,Sector,Education,,,,['first_level_tags->sectors->Education']
educación,transporte escolar,,Sector,Education,,,,['first_level_tags->sectors->Education']
educación,,,Sector,Education,,,,['first_level_tags->sectors->Education']
i/s - education,,,Sector,Education,,,,['first_level_tags->sectors->Education']
"international covenant on economic, social and cultural rights",right to education,,Sector,Education,,,,['first_level_tags->sectors->Education']
intersectoral linkage,education,,Sector,Education,,,,['first_level_tags->sectors->Education']
ministry of basic and secondary education (mobse),,,Sector,Education,,,,['first_level_tags->sectors->Education']
moe,,,Sector,Education,,,,['first_level_tags->sectors->Education']
moe direct mention,yes,,Sector,Education,,,,['first_level_tags->sectors->Education']
public services,education,,Sector,Education,,,,['first_level_tags->sectors->Education']
school feeding,cash/vouchers,,Sector,Education,,,,['first_level_tags->sectors->Education']
school feeding,distribution,,Sector,Education,,,,['first_level_tags->sectors->Education']
sector needs,education,,Sector,Education,,,,['first_level_tags->sectors->Education']
target audience,moe officials,,Sector,Education,,,,['first_level_tags->sectors->Education']
technical support,back to school plan,,Sector,Education,,,,['first_level_tags->sectors->Education']
technical support,coordination mechanisms,,Sector,Education,,,,['first_level_tags->sectors->Education']
technical support,ed cluster,,Sector,Education,,,,['first_level_tags->sectors->Education']
technical support,eie planning & development,,Sector,Education,,,,['first_level_tags->sectors->Education']
technical support,grant management,,Sector,Education,,,,['first_level_tags->sectors->Education']
technical support,safe school guidelines,,Sector,Education,,,,['first_level_tags->sectors->Education']
type of education,adult education,,Sector,Education,,,,['first_level_tags->sectors->Education']
type of education,unspecified,,Sector,Education,,,,['first_level_tags->sectors->Education']
unicef sector,education,,Sector,Education,,,,['first_level_tags->sectors->Education']
violations of social and economic rights,access to education,,Sector,Education,,,,['first_level_tags->sectors->Education']
education,,,Sector,Education,,,,['first_level_tags->sectors->Education']
ministry of education,,,Sector,Education,,,,['first_level_tags->sectors->Education']
remote modality,e-learning,,Sector,Education,,,,['first_level_tags->sectors->Education']
wash,wash en escuelas,,Sector,Education,,,,['first_level_tags->sectors->Education']
educación,alimentación escolar,,Sector,Education,,,,['first_level_tags->sectors->Education']
availability of food (survival),,,Sector,Food security,,,,['first_level_tags->sectors->Food security']
clúster,seguridad alimentaria,,Sector,Food security,,,,['first_level_tags->sectors->Food security']
covid-19,food security,,Sector,Food security,,,,['first_level_tags->sectors->Food security']
distribution,food items,,Sector,Food security,,,,['first_level_tags->sectors->Food security']
food,untitled subrow,,Sector,Food security,,,,['first_level_tags->sectors->Food security']
food consumption (survival),,,Sector,Food security,,,,['first_level_tags->sectors->Food security']
food distribution (positive - survival),,,Sector,Food security,,,,['first_level_tags->sectors->Food security']
food insecurity,,,Sector,Food security,,,,['first_level_tags->sectors->Food security']
food security,financial access,,Sector,Food security,,,,['first_level_tags->sectors->Food security']
food security,food access,,Sector,Food security,,,,['first_level_tags->sectors->Food security']
food security,food availability,,Sector,Food security,,,,['first_level_tags->sectors->Food security']
food security,food utilization,,Sector,Food security,,,,['first_level_tags->sectors->Food security']
food security,physical access,,Sector,Food security,,,,['first_level_tags->sectors->Food security']
food security,social access,,Sector,Food security,,,,['first_level_tags->sectors->Food security']
